date,daily_request_count,requests,y_true_7day,y_pred,abs_error,rolling_mae,status
2023-10-17,10623,10623,9427.57142857143,8075.285714285715,1352.2857142857147,547.7500000000001,ALERT
2023-10-18,10049,10049,9489.285714285714,9427.57142857143,61.714285714284415,549.5459183673471,ALERT
2023-10-19,9865,9865,9553.142857142857,9489.285714285714,63.85714285714312,551.0510204081634,ALERT
2023-10-20,8418,8418,9361.42857142857,9553.142857142857,191.71428571428623,557.2500000000001,ALERT
2023-10-21,7765,7765,9415.0,9361.42857142857,53.57142857142935,547.4285714285714,ALERT
2023-10-22,8427,8427,9430.0,9415.0,15.0,536.4081632653061,ALERT
2023-10-23,10893,10893,9434.285714285714,9430.0,4.285714285713766,533.0306122448981,ALERT
2023-10-24,10108,10108,9360.714285714286,9434.285714285714,73.57142857142753,531.4438775510205,ALERT
2023-10-25,9504,9504,9282.857142857143,9360.714285714286,77.85714285714312,531.9132653061225,ALERT
2023-10-26,9724,9724,9262.714285714286,9282.857142857143,20.142857142856883,530.1173469387755,ALERT
2023-10-27,10092,10092,9501.857142857143,9262.714285714286,239.14285714285688,496.2806122448979,ALERT
2023-10-28,9059,9059,9686.714285714286,9501.857142857143,184.85714285714312,485.3214285714285,ALERT
2023-10-29,7833,7833,9601.857142857143,9686.714285714286,84.85714285714312,473.89795918367344,ALERT
2023-10-30,9790,9790,9444.285714285714,9601.857142857143,157.57142857142935,477.10204081632656,ALERT
2023-10-31,11323,11323,9617.857142857143,9444.285714285714,173.57142857142935,475.45408163265313,ALERT
2023-11-01,10930,10930,9821.57142857143,9617.857142857143,203.71428571428623,469.9642857142858,ALERT
2023-11-02,10538,10538,9937.857142857143,9821.57142857143,116.28571428571377,456.83163265306126,ALERT
2023-11-03,10145,10145,9945.42857142857,9937.857142857143,7.571428571427532,390.32653061224494,ALERT
2023-11-04,9753,9753,10044.57142857143,9945.42857142857,99.1428571428587,360.6836734693878,WARN
2023-11-05,9360,9360,10262.714285714286,10044.57142857143,218.14285714285688,335.28571428571433,WARN
2023-11-06,8968,8968,10145.285714285714,10262.714285714286,117.42857142857247,306.29081632653066,OK
2023-11-07,8575,8575,9752.714285714286,10145.285714285714,392.57142857142753,287.12755102040825,OK
2023-11-08,8183,8183,9360.285714285714,9752.714285714286,392.42857142857247,286.42346938775523,OK
2023-11-09,7790,7790,8967.714285714286,9360.285714285714,392.57142857142753,282.00000000000006,OK
2023-11-10,9289,9289,8845.42857142857,8967.714285714286,122.28571428571558,261.4387755102042,OK
2023-11-11,7908,7908,8581.857142857143,8845.42857142857,263.57142857142753,253.27551020408168,OK
2023-11-12,8799,8799,8501.714285714286,8581.857142857143,80.14285714285688,229.06122448979596,OK
2023-11-13,10683,10683,8746.714285714286,8501.714285714286,245.0,193.030612244898,OK
2023-11-14,9759,9759,8915.857142857143,8746.714285714286,169.14285714285688,150.77551020408166,OK
2023-11-15,9596,9596,9117.714285714286,8915.857142857143,201.85714285714312,155.78061224489804,OK
2023-11-16,9251,9251,9326.42857142857,9117.714285714286,208.71428571428442,160.95408163265307,OK
