date,daily_request_count
2024-02-22,8517
2024-02-23,8614
2024-02-24,7092
2024-02-25,7214
2024-02-26,8989
2024-02-27,8856
2024-02-28,8469
2024-02-29,9026
2024-03-08,1576
2024-03-09,7488
2024-03-10,7773
2024-03-11,9607
2024-03-12,9903
2024-03-13,9460
2024-03-14,9532
2024-03-15,8884
2024-03-16,7492
2024-03-17,7606
2024-03-18,8192
2024-03-19,11450
2024-03-20,9241
2024-03-21,9304
2024-03-22,8991
2024-03-23,7673
2024-03-24,8043
2024-03-25,9391
2024-03-26,9488
2024-03-27,8882
2024-03-28,7443
2024-03-29,7867
2024-03-30,7341
2024-03-31,7373
2024-04-08,3295
2024-04-09,9765
2024-04-10,9491
2024-04-11,6588
2024-04-12,7340
2024-04-13,6700
2024-04-14,7805
2024-04-15,15899
2024-04-16,10454
2024-04-17,9307
2024-04-18,8936
2024-04-19,9397
2024-04-20,8022
2024-04-21,8050
2024-04-22,9435
2024-04-23,8609
2024-04-24,8743
2024-04-25,8630
2024-04-26,8787
2024-04-27,7312
2024-04-28,8879
2024-04-29,9918
2024-04-30,8638
2024-05-10,6392
2024-05-11,8083
2024-05-12,7372
2024-05-13,9703
2024-05-14,9801
2024-05-15,8087
2024-05-16,9126
2024-05-17,10060
2024-05-18,8128
2024-05-19,9379
2024-05-20,10059
2024-05-21,9915
2024-05-22,10073
2024-05-23,9332
2024-05-24,9803
2024-05-25,8425
2024-05-26,8883
2024-05-27,7055
2024-05-28,10447
2024-05-29,9856
2024-05-30,9950
2024-05-31,10071
2024-06-11,7465
2024-06-12,9745
2024-06-13,9839
2024-06-14,9729
2024-06-15,9712
2024-06-16,11083
2024-06-17,10676
2024-06-18,9791
2024-06-19,9186
2024-06-20,10530
2024-06-21,10450
2024-06-22,9246
2024-06-23,10017
2024-06-24,11461
2024-06-25,10756
2024-06-26,10496
2024-06-27,10970
2024-06-28,11062
2024-06-29,9348
2024-06-30,8438
2024-07-10,937
2024-07-11,8873
2024-07-12,8233
2024-07-13,7362
2024-07-14,12271
2024-07-15,10126
2024-07-16,10333
2024-07-17,9329
2024-07-18,9383
2024-07-19,8387
2024-07-20,8933
2024-07-21,8644
2024-07-22,9759
2024-07-23,9321
2024-07-24,9287
2024-07-25,9846
2024-07-26,9454
2024-07-27,9189
2024-07-28,9695
2024-07-29,10350
2024-07-30,9827
2024-07-31,10461
2024-08-10,6911
2024-08-11,9695
2024-08-12,10122
2024-08-13,9625
2024-08-14,9624
2024-08-15,9165
2024-08-16,9542
2024-08-17,8367
2024-08-18,7679
2024-08-19,9778
2024-08-20,9553
2024-08-21,9156
2024-08-22,9336
2024-08-23,9098
2024-08-24,8747
2024-08-25,8800
2024-08-26,9353
2024-08-27,9393
2024-08-28,9177
2024-08-29,9186
2024-08-30,8820
2024-08-31,8873
2024-09-11,1621
2024-09-12,11060
2024-09-13,11081
2024-09-14,10768
2024-09-15,14585
2024-09-16,12970
2024-09-17,10156
2024-09-18,9846
2024-09-19,10116
2024-09-20,9934
2024-09-21,9307
2024-09-22,11023
2024-09-23,13354
2024-09-24,9817
2024-09-25,9429
2024-09-26,9293
2024-09-27,10057
2024-09-28,7453
2024-09-29,7703
2024-09-30,10427
2024-10-12,7054
2024-10-13,9175
2024-10-14,8518
2024-10-15,12042
2024-10-16,11159
