date,daily_request_count,target_7day_avg
2023-01-12,8092,7923.857142857143
2023-01-13,7790,7936.857142857143
2023-01-14,7166,7947.714285714285
2023-01-15,6835,7728.285714285715
2023-01-16,7053,7833.571428571428
2023-01-17,9287,7821.857142857143
2023-01-18,8530,7806.714285714285
2023-01-19,7986,7854.857142857143
2023-01-20,8127,7788.142857142857
2023-01-21,6699,7733.0
2023-01-22,6449,7866.428571428572
2023-01-23,7987,7804.142857142857
2023-01-24,8851,7708.857142857143
2023-01-25,7863,7845.142857142857
2023-01-26,8940,7852.428571428572
2023-01-27,8178,7886.285714285715
2023-01-28,6936,7964.714285714285
2023-01-29,6998,8031.571428571428
2023-01-30,8455,7964.428571428572
2023-01-31,8381,7764.142857142857
2023-02-01,6461,7135.714285714285
2023-02-02,4541,6341.857142857143
2023-02-03,2621,6911.714285714285
2023-02-04,10925,7036.0
2023-02-05,7868,7092.0
2023-02-06,8847,7138.0
2023-02-07,8703,7402.0
2023-02-08,8309,7929.285714285715
2023-02-09,8232,8702.142857142857
2023-02-10,8031,8147.857142857143
2023-02-11,7045,8029.142857142857
2023-02-12,7037,7871.0
2023-02-13,7740,7774.428571428572
2023-02-14,8027,7800.285714285715
2023-02-15,8490,7778.142857142857
2023-02-16,8077,7737.571428571428
2023-02-17,7747,7759.714285714285
2023-02-18,7200,7701.571428571428
2023-02-19,6630,7537.0
2023-02-20,6588,7536.285714285715
2023-02-21,8022,7414.428571428572
2023-02-22,7637,7364.714285714285
2023-02-23,7729,7375.285714285715
2023-02-24,7821,7399.857142857143
2023-02-25,7372,7422.285714285715
2023-02-26,6787,7681.0
2023-02-27,8399,7694.428571428572
2023-02-28,8116,7658.571428571428
2023-03-01,7386,7505.142857142857
2023-03-02,6655,7234.285714285715
2023-03-03,5925,6923.142857142857
2023-03-04,5194,6591.285714285715
2023-03-05,4464,5924.714285714285
2023-03-06,3733,5194.285714285715
2023-03-07,3003,5393.428571428572
2023-03-08,8780,5716.428571428572
2023-03-09,8916,6015.142857142857
2023-03-10,8016,6206.714285714285
2023-03-11,6535,6539.285714285715
2023-03-12,6792,7168.0
2023-03-13,8134,7962.571428571428
2023-03-14,8565,7946.857142857143
2023-03-15,8670,7885.714285714285
2023-03-16,8488,7953.142857142857
2023-03-17,8488,8033.571428571428
2023-03-18,7098,8084.714285714285
2023-03-19,7150,8207.714285714286
2023-03-20,8995,8242.42857142857
2023-03-21,8808,8442.42857142857
2023-03-22,10070,8371.714285714286
2023-03-23,7993,8388.714285714286
2023-03-24,8607,8340.714285714286
2023-03-25,6762,8356.285714285714
2023-03-26,7259,8272.857142857143
2023-03-27,8411,8260.142857142857
2023-03-28,8719,8092.428571428572
2023-03-29,8896,8187.428571428572
2023-03-30,8658,8127.428571428572
2023-03-31,8187,8286.42857142857
2023-04-01,7875,8329.857142857143
2023-04-02,7563,8164.142857142857
2023-04-03,7251,7909.857142857143
2023-04-04,6939,7585.714285714285
2023-04-05,6627,7251.0
2023-04-06,6315,6939.0
2023-04-07,6003,6806.857142857143
2023-04-08,6950,6626.571428571428
2023-04-09,6301,6763.285714285715
2023-04-10,8208,6945.142857142857
2023-04-11,8212,7285.142857142857
2023-04-12,9007,7684.285714285715
2023-04-13,9109,8186.714285714285
2023-04-14,9520,8368.57142857143
2023-04-15,8223,8610.57142857143
2023-04-16,7995,8689.285714285714
2023-04-17,8759,8816.285714285714
2023-04-18,9101,8847.285714285714
2023-04-19,9224,8836.714285714286
2023-04-20,9035,8680.42857142857
2023-04-21,8426,8561.142857142857
2023-04-22,7388,8519.714285714286
2023-04-23,7705,8559.0
2023-04-24,9034,8625.57142857143
2023-04-25,9567,8594.0
2023-04-26,9003,8499.714285714286
2023-04-27,8375,8507.0
2023-04-28,8477,8555.42857142857
2023-04-29,7727,8690.57142857143
2023-04-30,8651,8564.714285714286
2023-05-01,8153,8291.57142857143
2023-05-02,7655,8027.857142857143
2023-05-03,7157,7782.714285714285
2023-05-04,6659,7451.714285714285
2023-05-05,6160,7156.714285714285
2023-05-06,5662,6658.571428571428
2023-05-07,5164,6160.428571428572
2023-05-08,4666,5662.285714285715
2023-05-09,4168,5940.714285714285
2023-05-10,9106,6297.142857142857
2023-05-11,9154,6801.0
2023-05-12,9687,7354.714285714285
2023-05-13,9538,7855.857142857143
2023-05-14,8672,8526.714285714286
2023-05-15,9362,9245.57142857143
2023-05-16,9200,9213.57142857143
2023-05-17,8882,9161.285714285714
2023-05-18,8788,9043.57142857143
2023-05-19,8863,8681.714285714286
2023-05-20,7005,8720.42857142857
2023-05-21,8943,8740.714285714286
2023-05-22,9504,8742.714285714286
2023-05-23,9214,8699.714285714286
2023-05-24,8581,8651.714285714286
2023-05-25,8452,8629.857142857143
2023-05-26,8710,8776.714285714286
2023-05-27,8033,8786.714285714286
2023-05-28,9013,8606.142857142857
2023-05-29,8240,8692.714285714286
2023-05-30,9820,8761.857142857143
2023-05-31,9065,8706.142857142857
2023-06-01,8062,8470.285714285714
2023-06-02,7059,8187.857142857143
